Captured[198]: A (3B, 8A, 8C, 3D)
Captured[199]: A (38, 07, B5, 8A)
Captured[200]: A (47, 02, 7F, 3A)
Captured[201]: A (3C, E0, D8, 04)
Captured[202]: A (37, 7A, F4, B9)
Captured[203]: A (3B, EA, 19, C8)
Captured[204]: A (26, 3B, 11, 0C)
Captured[205]: A (43, 92, 99, 48)
Captured[206]: A (42, 69, 61, 4A)
Captured[207]: A (44, 34, DC, AC)
Captured[208]: E (07, 09, 55, 5B)
Captured[209]: A (39, 53, C0, AA)
Captured[210]: A (99, B3, 6A, 40)
Captured[211]: A (43, 15, 0C, 5A)
Captured[212]: A (47, 98, C3, 1C)
Captured[213]: A (3E, 82, 48, F4)
Captured[214]: A (43, 6E, 1F, 32)
Captured[215]: A (44, 22, E6, 80)
Captured[216]: A (3A, A9, 0B, 98)
Captured[217]: A (91, 18, 3F, B6)
Captured[218]: A (45, D7, E5, 77)
Captured[219]: A (3C, E1, 5D, 80)
Captured[220]: A (02, 29, 70, 5B)
Captured[221]: A (3E, 61, AD, F2)
Captured[222]: A (33, 41, 8C, FE)
Captured[223]: A (36, 09, 69, 56)
Captured[224]: A (76, 2A, 3A, 66)
Captured[225]: A (18, 29, 87, B6)
Captured[226]: A (3B, 9C, F8, 5F)
Captured[227]: A (85, 8C, 46, 4F)
Captured[228]: A (39, 5D, 1C, 78)
Captured[229]: A (1E, 7D, 22, 41)
Captured[230]: A (3B, 9C, B3, 14)
Captured[231]: A (43, 1E, E4, B9)
Captured[232]: A (43, 93, 07, D7)
